,VideoID,ChannelID,CategoryID,VideoTitle,ChannelTitle,CategoryName,ViewCount,LikeCount,DislikeCount,Duration
44,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
45,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
46,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
47,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
48,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
49,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
50,NWONeJKn6kc,UC8butISFwT-Wl7EV0hUK0BQ,27,Machine Learning Course for Beginners,freeCodeCamp.org,Education,1258925,41499,0,35539.0
51,589nCGeWG1w,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"One-Hot, Label, Target and K-Fold Target Encoding, Clearly Explained!!!",StatQuest with Josh Starmer,Education,13617,566,0,923.0
52,589nCGeWG1w,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"One-Hot, Label, Target and K-Fold Target Encoding, Clearly Explained!!!",StatQuest with Josh Starmer,Education,13617,566,0,923.0
53,D0efHEJsfHo,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"How to Prune Regression Trees, Clearly Explained!!!",StatQuest with Josh Starmer,Education,163258,3595,0,975.0
54,g9c66TUylZ4,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Regression Trees, Clearly Explained!!!",StatQuest with Josh Starmer,Education,467689,11647,0,1353.0
55,NEaUSP4YerM,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: t-SNE, Clearly Explained",StatQuest with Josh Starmer,Education,376734,9422,0,708.0
56,wpNl-JwwplA,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Decision Trees, Part 2 - Feature Selection and Missing Data",StatQuest with Josh Starmer,Education,136908,2602,0,316.0
57,_L39rN6gz7Y,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Decision and Classification Trees, Clearly Explained!!!",StatQuest with Josh Starmer,Education,370553,8714,0,1088.0
58,H3EjCKtlVog,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Gaussian Naive Bayes, Clearly Explained!!!",StatQuest with Josh Starmer,Education,241409,5925,0,566.0
59,H3EjCKtlVog,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Gaussian Naive Bayes, Clearly Explained!!!",StatQuest with Josh Starmer,Education,241409,5925,0,566.0
60,H3EjCKtlVog,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Gaussian Naive Bayes, Clearly Explained!!!",StatQuest with Josh Starmer,Education,241409,5925,0,566.0
61,HVXime0nQeI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: K-nearest neighbors, Clearly Explained",StatQuest with Josh Starmer,Education,455135,8761,0,330.0
62,RDZUdRSDOok,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Clustering with DBSCAN, Clearly Explained!!!",StatQuest with Josh Starmer,Education,148172,5248,0,570.0
63,7xHsRkOdVwo,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: Hierarchical Clustering,StatQuest with Josh Starmer,Education,331788,7089,0,679.0
64,7xHsRkOdVwo,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: Hierarchical Clustering,StatQuest with Josh Starmer,Education,331788,7089,0,679.0
65,7xHsRkOdVwo,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: Hierarchical Clustering,StatQuest with Josh Starmer,Education,331788,7089,0,679.0
66,7xHsRkOdVwo,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: Hierarchical Clustering,StatQuest with Josh Starmer,Education,331788,7089,0,679.0
67,d_2fGS6QVDo,UCDybamfye5An6p-j1t2YMsg,22,How I'd become a Data Analyst | If I had to start all over again,Data With Mo,People & Blogs,226052,10887,0,765.0
68,bXLZ8I7s8tw,UCoOae5nYA7VqaXzerajD0lg,27,How to Start Your First Business - The CASTLE Method,Ali Abdaal,Education,142978,6709,0,1021.0
69,hJP5GqnTrNo,UCAuUUnT6oDeKwE6v1NGQxug,28,How AI Could Save (Not Destroy) Education | Sal Khan | TED,TED,Science & Technology,740147,26496,0,937.0
70,fbhCEd8Uw9c,UCUR_LsXk7IYyueSnXcNextQ,28,ChatGPT can help you develop and refine your research questions and hypotheses,Mike X Cohen,Science & Technology,91,2,0,613.0
71,aWGviOMQqSw,UCuQT7Vc3OjjZuGkqehNxb6w,28,Why Everyone Is OBSESSED With Notion,Enrico Tartarotti,Science & Technology,248752,13686,0,376.0
72,8ext9G7xspg,UC8butISFwT-Wl7EV0hUK0BQ,27,12 Beginner Python Projects - Coding Course,freeCodeCamp.org,Education,3529819,99009,0,10829.0
73,vFqYHtpdNo8,UC701pqb1-HJPS4RMjSmK4Yg,24,The Ultimate Mom Hack: Walmart+,,Entertainment,721079,1661,0,31.0
74,pGAUHhLYp5Q,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA in R,StatQuest with Josh Starmer,Education,37511,476,0,465.0
75,pGAUHhLYp5Q,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA in R,StatQuest with Josh Starmer,Education,37511,476,0,465.0
76,GEn-_dAyYME,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA,StatQuest with Josh Starmer,Education,152260,2822,0,498.0
77,GEn-_dAyYME,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA,StatQuest with Josh Starmer,Education,152260,2822,0,498.0
78,GEn-_dAyYME,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA,StatQuest with Josh Starmer,Education,152260,2822,0,498.0
79,GEn-_dAyYME,UCtYLUTtgS3k1Fg4y5tAhLbw,27,StatQuest: MDS and PCoA,StatQuest with Josh Starmer,Education,152260,2822,0,498.0
80,Ra6mWPfgW4Q,UCoOae5nYA7VqaXzerajD0lg,27,The Ben Franklin Effect 👴🏻,Ali Abdaal,Education,97571,10213,0,54.0
81,kHdAb8yBBDI,UCJQJAI7IjbLcpsjWdSzYz0Q,22,Will ChatGPT Code Interpreter Replace Data Analysts?,Thu Vu data analytics,People & Blogs,6891,449,0,53.0
82,oqhQwuQOpJA,UCzAF54cHk1ZO82af-8E3qOQ,27,What Does a Data Analyst Actually Do? (2023),CareerFoundry,Education,2121,99,0,450.0
83,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
84,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
85,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
86,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
87,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
88,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
89,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
90,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
91,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
92,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
93,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
94,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
95,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
96,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
97,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
